ID do IC,Nome,Tipo,Versão,Responsável,Localização
IC-COD12,CodeWindow.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/CodeWindow.css
IC-COD13,Stats.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Stats.js
IC-COD14,Stats.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Stats.css
IC-COD15,Features.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Features.js
IC-COD16,Features.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Features.css
IC-COD17,CTASection.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/CTASection.js
IC-COD18,CTASection.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/CTASection.css
IC-COD19,Footer.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Footer.js
IC-COD20,Footer.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Footer.css
IC-COD21,Button.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Button.js
IC-COD22,CodeCard.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/CodeCard.js
IC-COD23,codecard.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/codecard.css
IC-COD24,LearningPath.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/LearningPath.js
IC-COD25,learningpath.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/learningpath.css
IC-COD26,Navbar.js,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/Navbar.js
IC-COD27,navbar.css,Código Fonte,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/src/components/navbar.css
IC-COD28,server.js,Código Fonte,1.0,Desenvolvedor Backend,https://github.com/[usuario]/Armadura-Programada/tree/main/backend/server.js
IC-COD29,index.html,Arquivo Estático,1.0,Desenvolvedor Frontend,https://github.com/[usuario]/Armadura-Programada/tree/main/frontend-app/public/index.html

